user_id,age,gender,location,registration_date,last_login_date,subscription_type,subscription_start_date,subscription_end_date,payment_amount,payment_date,engagement_score,activity_level,device_type,app_version,purchase_category,purchase_amount,purchase_date,revenue_source,referrer
241,57,Male,Apt 965,10/19/2021,4/6/2021,pro,9/16/2021,8/26/2021,902.64,3/11/2020,73,low,Huawei,0.29,fitness equipment,355.88,5/3/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1"
242,35,Female,Suite 15,12/16/2021,1/7/2021,pro,11/17/2020,7/22/2021,616.94,4/26/2021,91,low,Nokia,0.4.4,healthy snacks,449.46,5/2/2020,ads,"Mozilla/5.0 (Windows; U; Windows NT 6.1; de-DE) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/10.0.649.0 Safari/534.17"
243,27,Male,Room 56,1/28/2020,5/24/2020,premium,11/9/2020,2/4/2020,994.6,8/10/2021,7,medium,Motorola,6.1,fitness equipment,84.65,9/12/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
244,54,Male,PO Box 37645,7/3/2020,8/28/2020,pro,3/28/2021,11/28/2020,523.32,3/19/2020,25,medium,Samsung,5.2,healthy snacks,309.81,3/26/2020,subscription fees,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24"
245,25,Female,19th Floor,7/18/2020,5/10/2020,pro,2/11/2020,5/20/2020,926.58,6/13/2021,57,medium,Qtek,0.4.6,fitness equipment,303.18,4/13/2020,subscription fees,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/21.0.1
246,80,Male,16th Floor,5/10/2020,9/8/2021,pro,11/21/2020,11/10/2020,273.89,7/13/2021,33,medium,Lava,0.7.6,supplements,374.07,1/16/2021,subscription fees,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20100101 Firefox/21.0
247,70,Female,Room 826,10/18/2020,9/8/2021,pro,7/10/2020,9/2/2020,526.61,11/5/2020,48,high,Spice,5.9,fitness equipment,92.56,3/1/2020,subscription fees,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20130401 Firefox/21.0
248,78,Female,Suite 87,11/27/2021,5/17/2021,basic,1/14/2021,5/3/2021,267.1,9/28/2020,26,high,vivo,0.3.3,healthy snacks,415.55,8/1/2020,in-app purchases,"Mozilla/5.0 (Windows; U; Windows NT 6.0; tr-TR) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
249,18,Female,Room 1895,11/1/2021,7/23/2021,basic,5/11/2020,7/11/2020,955.98,7/2/2020,56,low,Samsung,6.29,healthy snacks,418.92,10/5/2020,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36"
250,66,Male,Apt 1612,7/24/2021,9/3/2020,pro,8/8/2021,1/2/2021,466.08,6/21/2021,64,medium,Wiko,7.5,supplements,291.5,4/28/2021,subscription fees,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.742.112 Chrome/12.0.742.112 Safari/534.30"
251,43,Genderfluid,18th Floor,4/9/2020,12/14/2021,pro,2/9/2020,3/22/2021,525.28,12/13/2020,56,high,alcatel,0.1.0,fitness equipment,286.78,12/29/2021,ads,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.04 Chromium/14.0.803.0 Chrome/14.0.803.0 Safari/535.1"
252,38,Non-binary,Apt 1117,11/3/2021,12/22/2021,pro,6/12/2020,7/27/2021,736.7,4/14/2020,78,high,Bird,7.5.6,healthy snacks,165.26,8/10/2021,ads,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0 Safari/533.16"
253,67,Polygender,13th Floor,12/20/2021,9/20/2021,premium,3/10/2020,1/4/2020,18.29,5/15/2021,28,low,Panasonic,0.7.4,healthy snacks,240.32,1/15/2021,ads,"Mozilla/5.0 (iPhone; U; fr; CPU iPhone OS 4_2_1 like Mac OS X; fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5"
254,56,Female,Apt 1998,4/16/2021,9/8/2021,premium,11/3/2020,8/1/2020,257.35,2/24/2021,69,high,XOLO,0.9.0,healthy snacks,267.89,8/9/2020,ads,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.2 Safari/537.36"
255,45,Male,Apt 1327,6/30/2021,1/25/2020,premium,3/24/2020,3/18/2020,662.49,8/23/2021,96,medium,Motorola,9.1.4,supplements,192.17,2/22/2020,ads,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
256,74,Male,Suite 82,3/16/2020,9/22/2021,basic,7/21/2021,3/27/2020,128.46,4/18/2020,98,high,BenQ,0.7.5,fitness equipment,405.16,11/27/2021,subscription fees,Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/23.0
257,57,Female,Suite 33,9/13/2020,5/13/2020,pro,9/13/2020,8/5/2021,615.77,12/15/2021,98,low,Samsung,6.9.3,fitness equipment,283.25,1/8/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/13.0.748.0 Safari/534.31"
258,37,Male,PO Box 5865,11/15/2021,11/20/2020,premium,2/27/2021,11/22/2020,599.71,8/8/2020,21,low,BQ,5.4,fitness equipment,68.59,12/23/2020,ads,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1"
259,36,Bigender,Suite 84,12/26/2020,1/8/2020,basic,4/24/2021,4/30/2021,883.48,1/18/2021,34,low,alcatel,0.14,supplements,260.42,3/20/2021,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/19.0.1055.1 Safari/535.24"
260,44,Male,PO Box 8140,6/3/2020,8/5/2021,premium,11/23/2020,5/29/2021,331.91,11/23/2021,88,medium,Icemobile,9.3,fitness equipment,292.75,2/15/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7"
261,78,Female,16th Floor,2/9/2020,6/27/2020,basic,6/23/2021,5/9/2020,488.99,10/22/2021,25,high,Meizu,6.1,healthy snacks,250.37,8/26/2020,subscription fees,Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0
262,28,Male,Suite 18,10/14/2021,4/13/2021,premium,6/9/2020,12/13/2020,71.07,9/7/2021,54,low,vivo,9.3,fitness equipment,33.22,4/2/2021,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.32 Safari/535.1"
263,23,Male,Apt 538,10/23/2021,6/4/2021,premium,7/9/2021,1/19/2021,397.85,6/22/2021,43,low,Intex,9.1.7,healthy snacks,62.97,3/12/2021,ads,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30"
264,31,Female,Suite 17,7/21/2021,8/8/2020,basic,6/29/2020,11/9/2021,5.93,8/11/2020,14,medium,Huawei,7.8,supplements,197.02,11/30/2020,subscription fees,"Mozilla/4.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/11.0.1245.0 Safari/537.36"
265,45,Female,Room 1036,9/9/2021,6/22/2021,premium,12/16/2021,5/18/2021,613.06,11/17/2021,40,low,Micromax,0.3.5,supplements,369.44,7/4/2021,in-app purchases,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; ja-jp) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
266,85,Female,Apt 1686,11/18/2020,2/6/2021,premium,11/24/2020,10/15/2020,31.74,4/1/2020,36,high,Samsung,1.9,fitness equipment,374.36,10/15/2020,ads,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
267,53,Female,Suite 6,4/25/2020,9/15/2021,pro,6/14/2021,12/26/2021,22,5/11/2020,30,high,Celkon,8.03,fitness equipment,62.01,7/24/2020,ads,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0) Gecko/20100101 Firefox/9.0
268,78,Male,Room 1289,8/27/2021,8/22/2021,basic,2/13/2020,8/27/2021,717.44,11/8/2021,6,low,Samsung,7.13,fitness equipment,35.29,3/30/2021,ads,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.812.0 Safari/535.1"
269,23,Male,Suite 22,12/7/2020,11/20/2020,pro,2/4/2020,11/25/2020,790.96,8/22/2020,50,low,Huawei,1.9.4,fitness equipment,247.03,6/22/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
270,34,Female,PO Box 10464,12/9/2021,2/6/2020,premium,12/29/2021,6/20/2021,457.59,2/27/2021,41,low,Plum,6.53,fitness equipment,24.31,6/16/2021,ads,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; zh-cn) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
271,54,Genderfluid,PO Box 62252,6/10/2021,3/8/2021,pro,12/2/2021,3/21/2020,9.14,8/26/2020,53,low,BQ,0.45,fitness equipment,3.55,1/19/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.13 (KHTML, like Gecko) Chrome/24.0.1284.0 Safari/537.13"
272,59,Female,Suite 3,4/28/2020,7/17/2020,pro,3/5/2020,10/26/2021,599.57,2/24/2020,90,low,Nokia,3.4.4,supplements,88.86,5/12/2020,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1"
273,61,Male,Room 1590,3/1/2021,5/27/2021,premium,7/5/2021,9/4/2021,116.37,6/12/2020,57,low,Energizer,0.51,healthy snacks,359.55,6/27/2021,ads,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4; en-us) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2"
274,48,Male,PO Box 42577,12/10/2021,5/13/2021,premium,7/5/2021,11/1/2020,161.84,1/7/2021,53,high,Micromax,6.62,healthy snacks,287.05,9/11/2020,in-app purchases,Mozilla/5.0 (Windows NT 6.1; rv:12.0) Gecko/20120403211507 Firefox/14.0.1
275,47,Male,Apt 699,11/17/2021,6/16/2021,premium,6/30/2021,2/10/2020,383.06,12/4/2021,34,medium,Panasonic,0.8.9,healthy snacks,467.27,7/19/2021,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"
276,83,Male,PO Box 34686,5/2/2020,4/11/2021,pro,11/29/2020,11/30/2021,638.8,2/18/2021,83,medium,Celkon,9.5.4,fitness equipment,220.33,8/29/2020,ads,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
277,33,Male,Suite 20,11/3/2020,3/9/2020,premium,4/12/2020,5/26/2020,975.24,3/5/2020,74,medium,LG,3.4,supplements,445.6,10/22/2021,ads,"Mozilla/5.0 (X11; FreeBSD i386) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2"
278,29,Male,Room 39,3/20/2021,3/29/2021,pro,12/19/2020,5/11/2020,460.99,12/23/2020,42,low,Allview,3.3,supplements,242.45,5/24/2020,subscription fees,"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.82 Safari/534.16"
279,71,Male,14th Floor,11/11/2020,6/7/2021,pro,8/29/2021,11/16/2021,752.37,6/24/2021,83,high,Motorola,0.9,healthy snacks,218.83,9/23/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ru-RU) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
280,58,Polygender,PO Box 23690,1/16/2020,5/10/2020,pro,4/7/2021,6/19/2020,602.02,8/3/2021,91,medium,Telit,5.8.4,supplements,456.05,12/19/2020,in-app purchases,"Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
281,56,Female,Room 881,8/19/2020,4/4/2021,premium,2/16/2020,12/18/2020,597.31,1/27/2021,64,medium,Huawei,5.8.0,healthy snacks,464.27,6/12/2020,subscription fees,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0.6
282,20,Female,Room 678,12/4/2021,8/23/2021,pro,7/11/2021,7/9/2020,782.21,12/12/2020,85,low,Fairphone,0.4.1,supplements,219.78,4/21/2021,subscription fees,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.699.0 Safari/534.24"
283,99,Female,10th Floor,10/25/2021,2/28/2020,premium,7/25/2020,7/2/2020,921.78,7/8/2021,30,low,Philips,8.25,healthy snacks,471.64,12/17/2021,in-app purchases,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.809.0 Safari/535.1"
284,44,Female,Apt 1674,12/27/2020,7/10/2020,pro,2/12/2020,3/13/2020,921.59,1/20/2021,34,low,i-mate,6.3.3,healthy snacks,278.67,8/23/2021,subscription fees,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.04 Chromium/14.0.825.0 Chrome/14.0.825.0 Safari/535.1"
285,46,Male,Apt 1347,6/17/2021,10/27/2021,basic,1/14/2021,4/16/2021,710.61,7/17/2020,76,low,HP,0.3.4,healthy snacks,318.36,8/13/2020,ads,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16"
286,49,Genderqueer,Room 1140,10/26/2021,3/29/2021,basic,2/2/2021,6/16/2020,605.41,3/26/2021,96,low,Spice,8.8,healthy snacks,123.68,2/18/2021,in-app purchases,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; pl-pl) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8F190 Safari/6533.18.5"
287,85,Male,Apt 882,5/27/2021,3/15/2021,pro,5/21/2021,10/9/2020,17.09,8/6/2020,85,low,Nokia,4.54,fitness equipment,7.71,9/2/2020,in-app purchases,Mozilla/5.0 (Windows NT 5.1; rv:14.0) Gecko/20120405 Firefox/14.0a1
288,31,Male,19th Floor,12/28/2021,2/19/2021,premium,4/23/2020,2/12/2021,41.75,11/1/2020,7,low,verykool,6.3,healthy snacks,278.07,5/26/2021,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.803.0 Safari/535.1"
289,72,Female,PO Box 11793,1/23/2021,11/30/2021,premium,10/18/2020,3/3/2020,972.74,1/13/2020,90,low,Karbonn,8.1,supplements,175.71,6/22/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1063.0 Safari/536.3"
290,95,Female,9th Floor,11/19/2020,7/20/2021,basic,12/15/2021,1/27/2020,831.55,3/25/2021,27,low,vivo,0.3.9,healthy snacks,377.87,3/11/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
291,44,Female,Apt 1732,8/1/2020,9/23/2020,pro,5/31/2021,12/21/2021,205.15,6/5/2021,62,medium,Oppo,6.9,supplements,325.36,12/14/2021,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.861.0 Safari/535.2"
292,62,Genderfluid,Apt 389,3/26/2020,2/5/2021,basic,8/29/2020,12/30/2021,21.1,11/21/2021,76,low,Samsung,4.53,healthy snacks,445.04,11/20/2020,ads,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.792.0 Safari/535.1"
293,26,Genderqueer,PO Box 12798,1/24/2020,9/8/2021,premium,11/22/2021,7/23/2020,394.69,5/31/2020,18,low,Sagem,7.91,supplements,406.51,12/13/2021,in-app purchases,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; tr) AppleWebKit/528.4+ (KHTML, like Gecko) Version/4.0dp1 Safari/526.11.2"
294,55,Female,13th Floor,2/28/2020,9/13/2020,premium,7/15/2020,6/5/2020,475.03,8/7/2020,2,high,Panasonic,7.3,supplements,2.36,11/10/2020,in-app purchases,"Mozilla/5.0 ArchLinux (X11; U; Linux x86_64; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100"
295,68,Male,Room 1497,4/17/2021,3/7/2020,premium,11/15/2021,4/22/2021,693.91,2/3/2021,34,high,Samsung,6.9,healthy snacks,50.07,10/20/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/13.0.748.0 Safari/534.31"
296,84,Genderfluid,Apt 1564,9/23/2020,3/12/2020,pro,3/2/2020,8/13/2020,23.96,2/24/2020,47,high,Eten,3.5,fitness equipment,191.42,1/4/2021,subscription fees,Mozilla/5.0 (Windows NT 6.2; Win64; x64;) Gecko/20100101 Firefox/20.0
297,92,Female,Apt 654,9/2/2021,10/28/2021,premium,4/29/2021,6/19/2021,632.47,4/27/2021,38,medium,Asus,3.7.7,supplements,415.28,10/20/2020,ads,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.35 (KHTML, like Gecko) Ubuntu/10.10 Chromium/13.0.764.0 Chrome/13.0.764.0 Safari/534.35"
298,33,Female,Suite 67,5/2/2020,11/13/2021,pro,11/22/2020,1/27/2021,793.37,5/18/2020,61,low,Allview,2.9,supplements,482.87,3/26/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.68 Safari/534.24"
299,50,Female,Apt 1522,12/5/2020,9/2/2021,basic,1/26/2020,1/25/2021,915.52,12/16/2020,68,medium,Xiaomi,5.77,healthy snacks,55.63,2/22/2020,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.1; de-DE) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
300,78,Female,PO Box 44141,6/5/2021,5/2/2021,premium,1/18/2021,3/26/2021,653.18,11/15/2020,46,medium,Icemobile,0.23,supplements,181.33,11/17/2021,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
301,22,Female,PO Box 65632,4/28/2020,2/14/2020,pro,2/9/2020,2/14/2020,670.12,10/1/2020,74,low,HTC,0.5,fitness equipment,487.95,5/3/2021,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1"
302,84,Female,19th Floor,11/6/2021,5/2/2021,basic,8/16/2021,11/2/2021,501.7,3/14/2020,90,low,XOLO,0.18,supplements,431.11,1/8/2021,ads,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-gb) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
303,32,Non-binary,2nd Floor,7/5/2020,3/28/2021,basic,4/18/2020,11/27/2021,924.14,11/17/2020,64,low,Ulefone,2.4,fitness equipment,492.92,5/24/2021,ads,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/11.0.654.0 Safari/534.17"
304,20,Male,PO Box 98842,1/27/2021,1/21/2021,premium,7/20/2020,8/30/2020,613.48,7/25/2020,55,medium,Huawei,8.57,fitness equipment,487.39,6/24/2020,ads,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11"
305,42,Female,Apt 1566,9/8/2020,2/2/2020,pro,6/7/2020,3/25/2021,246.37,8/23/2020,32,medium,Samsung,1.7,supplements,433.43,5/15/2020,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.32 Safari/535.1"
306,90,Female,Room 1528,12/30/2021,10/31/2021,basic,4/22/2020,1/29/2020,620.89,11/14/2020,5,low,Meizu,0.41,healthy snacks,244.57,5/2/2021,ads,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.794.0 Safari/535.1"
307,82,Female,Room 599,10/26/2020,1/25/2021,pro,12/31/2020,1/7/2021,118.37,1/18/2021,18,high,Samsung,2.52,fitness equipment,142.64,12/23/2021,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.10 Chromium/17.0.963.65 Chrome/17.0.963.65 Safari/535.11"
308,23,Male,PO Box 43550,3/8/2020,7/13/2020,basic,7/23/2021,2/23/2020,717.85,4/18/2020,18,low,Realme,0.1.2,healthy snacks,401.65,4/9/2020,ads,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.815.0 Safari/535.1"
309,72,Female,Suite 22,3/31/2021,3/16/2021,basic,5/15/2020,9/13/2020,683.31,2/15/2020,88,medium,iNQ,1,healthy snacks,417.56,11/26/2020,ads,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.8 (KHTML, like Gecko) Chrome/17.0.940.0 Safari/535.8"
310,68,Genderqueer,Room 686,3/16/2020,4/16/2020,premium,2/17/2020,4/3/2021,107.14,2/16/2021,16,low,alcatel,2.4.6,healthy snacks,251.43,8/29/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
311,37,Male,14th Floor,12/29/2020,7/11/2020,premium,4/19/2020,10/29/2020,936.65,2/25/2021,5,low,LG,4.1.5,healthy snacks,240.87,3/13/2020,in-app purchases,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1468.0 Safari/537.36"
312,82,Female,16th Floor,2/16/2020,9/30/2020,premium,6/5/2021,4/15/2021,779.11,3/8/2020,88,low,Samsung,0.96,fitness equipment,118,12/26/2021,in-app purchases,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.26 Safari/537.11"
313,37,Polygender,Room 1149,5/24/2021,12/23/2021,premium,9/4/2020,2/15/2021,439.38,10/30/2020,26,medium,Archos,0.8.4,fitness equipment,181.67,1/23/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ru-RU) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
314,61,Male,14th Floor,12/26/2020,12/4/2021,premium,6/29/2020,3/27/2020,332.34,4/5/2020,63,medium,LG,6.25,fitness equipment,331.48,6/18/2021,in-app purchases,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.12 Safari/535.11"
315,75,Female,Apt 1759,4/5/2020,10/4/2020,basic,6/5/2020,4/18/2020,283.44,10/28/2021,52,high,Karbonn,0.6.1,healthy snacks,217.84,12/10/2021,ads,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
316,80,Male,16th Floor,12/28/2020,7/13/2020,basic,12/27/2020,9/21/2021,771.18,1/8/2020,28,high,ZTE,5.39,healthy snacks,276.23,1/21/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
317,74,Female,PO Box 50458,11/5/2021,4/5/2020,basic,12/21/2021,6/24/2021,484.48,9/13/2021,54,high,Celkon,0.65,fitness equipment,189.46,10/19/2021,in-app purchases,"Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
318,74,Male,Suite 54,8/18/2021,7/6/2020,pro,7/13/2020,7/19/2021,282.79,9/14/2021,32,low,Samsung,1,fitness equipment,195.25,11/19/2020,subscription fees,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
319,34,Male,Room 891,10/17/2021,1/10/2020,premium,2/3/2020,1/2/2020,538.91,9/26/2021,7,medium,BenQ,0.6.3,fitness equipment,333.47,7/3/2021,subscription fees,Mozilla/5.0 (Windows x86; rv:19.0) Gecko/20100101 Firefox/19.0
320,95,Female,Apt 1177,5/15/2020,5/6/2020,premium,10/9/2020,3/17/2020,439.6,7/22/2020,88,medium,Wiko,0.4.0,supplements,441.45,1/4/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7"
321,94,Male,19th Floor,1/6/2020,11/24/2020,basic,8/1/2021,8/31/2020,811.35,7/27/2021,95,high,Samsung,0.3.1,supplements,349.63,4/9/2020,subscription fees,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3_3 like Mac OS X; ja-jp) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5"
322,94,Female,Apt 1306,10/17/2021,7/24/2020,premium,4/8/2021,7/2/2020,629.37,11/6/2020,94,high,LG,3.6,supplements,466.07,6/22/2020,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11"
323,36,Male,Suite 76,4/1/2021,8/14/2021,premium,5/30/2021,2/20/2020,296.86,10/15/2020,60,high,Motorola,1.24,fitness equipment,54.24,12/10/2021,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10"
324,21,Male,Apt 497,10/4/2021,9/2/2021,pro,2/13/2020,3/19/2021,503.35,7/25/2020,72,low,Xiaomi,0.5.2,fitness equipment,181.73,2/18/2021,ads,Mozilla/5.0 (Windows; U; Windows NT 6.1; WOW64; en-US; rv:2.0.4) Gecko/20120718 AskTbAVR-IDW/3.12.5.17700 Firefox/14.0.1
